day,x,y,z
242,-1.6606492691699582E13,-1.200577156079016E12,2.211282263461629E7
243,-1.6674654054881994E13,-1.2054196231693035E12,2.2169982082625695E7
244,-1.6742815414508674E13,-1.2102620900025166E12,2.2227141526611697E7
245,-1.681097677060857E13,-1.2151045565807656E12,2.228430096661006E7
246,-1.687913812321028E13,-1.2199470229061357E12,2.2341460402656093E7
247,-1.694729947234205E13,-1.2247894889806873E12,2.2398619834784638E7
248,-1.7015460818031795E13,-1.229631954806454E12,2.2455779263030093E7
249,-1.7083622160307082E13,-1.234474420385446E12,2.251293868742641E7
250,-1.7151783499195158E13,-1.2393168857196494E12,2.257009810800711E7
251,-1.7219944834722938E13,-1.2441593508110256E12,2.2627257524805292E7
252,-1.7288106166917023E13,-1.2490018156615127E12,2.2684416937853623E7
253,-1.7356267495803697E13,-1.2538442802730266E12,2.2741576347184367E7
254,-1.7424428821408934E13,-1.2586867446474592E12,2.2798735752829377E7
255,-1.7492590143758402E13,-1.2635292087866804E12,2.285589515482011E7
256,-1.7560751462877475E13,-1.2683716726925388E12,2.291305455318764E7
257,-1.7628912778791227E13,-1.2732141363668604E12,2.2970213947962627E7
258,-1.769707409152444E13,-1.2780565998114502E12,2.302737333917538E7
259,-1.776523540110161E13,-1.282899063028092E12,2.3084532726855826E7
260,-1.7833396707546953E13,-1.287741526018549E12,2.314169211103351E7
261,-1.7901558010884406E13,-1.292583988784565E12,2.319885149173764E7
262,-1.7969719311137633E13,-1.2974264513278616E12,2.325601086899705E7
263,-1.8037880608330035E13,-1.3022689136501423E12,2.3313170242840223E7
264,-1.810604190248474E13,-1.3071113757530908E12,2.3370329613295306E7
265,-1.817420319362461E13,-1.3119538376383716E12,2.3427488980390098E7
266,-1.824236448177226E13,-1.3167962993076296E12,2.3484648344152078E7
267,-1.831052576695005E13,-1.3216387607624924E12,2.354180770460839E7
268,-1.8378687049180086E13,-1.3264812220045684E12,2.3598967061785843E7
269,-1.844684832848423E13,-1.3313236830354482E12,2.3656126415710945E7
270,-1.8515009604884105E13,-1.3361661438567048E12,2.3713285766409878E7
271,-1.858317087840109E13,-1.3410086044698933E12,2.3770445113908518E7
272,-1.865133214905633E13,-1.3458510648765518E12,2.382760445823244E7
273,-1.871949341687074E13,-1.3506935250782017E12,2.3884763799406923E7
274,-1.8787654681865008E13,-1.355535985076347E12,2.3941923137456942E7
275,-1.885581594405959E13,-1.3603784448724756E12,2.399908247240719E7
276,-1.892397720347473E13,-1.3652209044680596E12,2.405624180428206E7
277,-1.8992138460130445E13,-1.370063363864554E12,2.4113401133105688E7
278,-1.906029971404654E13,-1.3749058230633992E12,2.4170560458901916E7
279,-1.9128460965242605E13,-1.379748282066019E12,2.4227719781694315E7
280,-1.9196622213738027E13,-1.384590740873822E12,2.4284879101506196E7
281,-1.926478345955199E13,-1.3894331994882024E12,2.4342038418360587E7
282,-1.933294470270345E13,-1.394275657910539E12,2.4399197732280273E7
283,-1.9401105943211184E13,-1.3991181161421963E12,2.4456357043287773E7
284,-1.946926718109377E13,-1.4039605741845232E12,2.451351635140536E7
285,-1.9537428416369586E13,-1.4088030320388557E12,2.4570675656655043E7
286,-1.960558964905682E13,-1.4136454897065151E12,2.4627834959058598E7
287,-1.967375087917347E13,-1.4184879471888088E12,2.468499425863756E7
288,-1.974191210673734E13,-1.4233304044870303E12,2.4742153555413213E7
289,-1.981007333176606E13,-1.4281728616024602E12,2.4799312849406622E7
290,-1.9878234554277074E13,-1.4330153185363655E12,2.485647214063861E7
291,-1.994639577428765E13,-1.43785777529E12,2.491363142912976E7
292,-2.0014556991814867E13,-1.4427002318646047E12,2.4970790714900453E7
293,-2.008271820687564E13,-1.4475426882614075E12,2.5027949997970834E7
294,-2.0150879419486715E13,-1.452385144481624E12,2.508510927836084E7
295,-2.021904062966466E13,-1.457227600526457E12,2.5142268556090184E7
296,-2.028720183742587E13,-1.4620700563970974E12,2.5199427831178367E7
297,-2.0355363042786598E13,-1.4669125120947244E12,2.525658710364468E7
298,-2.042352424576291E13,-1.4717549676205046E12,2.531374637350821E7
299,-2.0491685446370715E13,-1.4765974229755933E12,2.5370905640787836E7
300,-2.055984664462578E13,-1.4814398781611335E12,2.542806490550224E7
301,-2.06280078405437E13,-1.4862823331782578E12,2.548522416766991E7
302,-2.069616903413991E13,-1.4911247880280867E12,2.554238342730913E7
303,-2.0764330225429715E13,-1.4959672427117295E12,2.559954268443799E7
304,-2.0832491414428246E13,-1.5008096972302847E12,2.5656701939074397E7
305,-2.0900652601150492E13,-1.5056521515848403E12,2.5713861191236064E7
306,-2.09688137856113E13,-1.5104946057764731E12,2.5771020440940533E7
307,-2.103697496782538E13,-1.5153370598062502E12,2.5828179688205153E7
308,-2.110513614780728E13,-1.520179513675227E12,2.5885338933047093E7
309,-2.117329732557142E13,-1.5250219673844492E12,2.594249817548335E7
310,-2.1241458501132086E13,-1.5298644209349521E12,2.5999657415530737E7
311,-2.1309619674503406E13,-1.5347068743277617E12,2.60568166532059E7
312,-2.1377780845699387E13,-1.539549327563893E12,2.611397588852532E7
313,-2.1445942014733902E13,-1.5443917806443525E12,2.61711351215053E7
314,-2.1514103181620688E13,-1.5492342335701362E12,2.622829435216199E7
315,-2.1582264346373348E13,-1.5540766863422307E12,2.628545358051136E7
316,-2.165042550900537E13,-1.558919138961613E12,2.6342612806569234E7
317,-2.1718586669530098E13,-1.5637615914292507E12,2.6399772030351263E7
318,-2.178674782796076E13,-1.568604043746103E12,2.645693125187295E7
319,-2.1854908984310457E13,-1.5734464959131194E12,2.651409047114964E7
320,-2.1923070138592168E13,-1.5782889479312405E12,2.657124968819653E7
321,-2.199123129081875E13,-1.5831313998013984E12,2.6628408903028663E7
322,-2.205939244100294E13,-1.5879738515245166E12,2.668556811566093E7
323,-2.2127553589157375E13,-1.5928163031015093E12,2.6742727326108076E7
324,-2.2195714735294543E13,-1.5976587545332827E12,2.67998865343847E7
325,-2.2263875879426832E13,-1.6025012058207346E12,2.6857045740505267E7
326,-2.2332037021566523E13,-1.6073436569647542E12,2.691420494448409E7
327,-2.240019816172577E13,-1.6121861079662224E12,2.6971364146335337E7
328,-2.246835929991663E13,-1.6170285588260125E12,2.7028523346073054E7
329,-2.2536520436151043E13,-1.6218710095449895E12,2.7085682543711144E7
330,-2.2604681570440844E13,-1.626713460124011E12,2.714284173926337E7
331,-2.2672842702797758E13,-1.6315559105639263E12,2.7200000932743378E7
332,-2.2741003833233406E13,-1.6363983608655764E12,2.7257160124164667E7
333,-2.2809164961759305E13,-1.6412408110297957E12,2.7314319313540608E7
334,-2.2877326088386863E13,-1.646083261057411E12,2.737147850088445E7
335,-2.29454872131274E13,-1.650925710949241E12,2.7428637686209325E7
336,-2.301364833599212E13,-1.6557681607060981E12,2.748579686952822E7
337,-2.3081809456992137E13,-1.6606106103287866E12,2.754295605085401E7
338,-2.314997057613846E13,-1.6654530598181033E12,2.7600115230199445E7
339,-2.3218131693442008E13,-1.670295509174839E12,2.7657274407577157E7
340,-2.3286292808913594E13,-1.675137958399777E12,2.771443358299966E7
